"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","","","",""
"469","2","    HPR-08962-13","WMZ OVERHEAD BRIDGE  ","CRANE     ","BRIDGE            ","   ","100446","960033","14","0","4","2","2","0","03/22/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08962-13","WMZ OVERHEAD BRIDGE  ","CRANE     ","BRIDGE            ","   ","100446","960033","20","0","-4","-2","-2","0","03/30/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09020-01","SECONDARY REMOTE ACT ","PANEL     ","ACTUATION         ","   ","40535","960034","1","5186.16","1","0","1","5186.16","04/15/2016","1","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000583-01","BOX, JUNCTION, INTER ","BOX       ","JUNCTION          ","   ","104669","970132","2","6703.09","1","0","1","6703.09","02/01/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09215-01","NOZZLE STRAINER KIT  ","KIT       ","                  ","   ","100158","970138","1","100.15","15","0","15","1502.25","11/16/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09215-02","NOZZLE, SPRAY, 1"" FP ","NOZZLE    ","                  ","   ","100158","970138","2","691.08","11","0","11","7601.88","11/16/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000609-01","DECK SURFACE FLOODLI ","FLOODLIGHT","DECK              ","   ","103123","970140","1","0","1","0","1","0","01/26/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000725-01","NO-FLOW DEVICE, EXCE ","ADAPTER   ","FLOW-RESTRICTOR   ","   ","100158","970141","1","215","29","0","29","6235","11/18/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001019-01","HPU, INTERCEPTOR,    ","HPU       ","INTERCEPTOR       ","   ","104669","970190","1","2072.72","1","0","1","2072.72","04/28/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000193-01","MAIN REMOTE ACTUATOR ","PANEL     ","                  ","   ","40535","970191","1","332.4","9","0","9","2991.6","04/04/2017","1","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001363-01","HATCH, 57MM AMMO STR ","HATCH     ","STRIKE DOWN       ","   ","100443","970218","1","5000","1","0","1","5000","03/16/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001173-01","AFFF SYSTEM, TO BE S ","SYSTEM    ","AFFF              ","   ","40535","970222","1","0","1","0","1","0","03/17/2017","1","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001057-01","MAIN SECONDARY REMOT ","PANEL     ","REMOTE            ","   ","40535","970268","1","826.2","1","0","1","826.2","08/15/2017","1","         ","            ","","","","","","","","","","","",""
"SWBS: ","2","002M - DMR-HPR MATERIAL","ALL SB        ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 002 :       94732.17","","","","","","","","","","","","","","","","","",""
"SWBS: ","8","FREIGHT - BUDGETING","                  ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 008 :        ","0","","","","","","","","","","","","","","","","",""
"SWBS: ","17","017M-WATERFRONT CHANGES","              ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 017 :        ","0","","","","","","","","","","","","","","","","",""
"SWBS: ","41","041M - CONFIGURATION","MANAGEME         ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 041 :        ","0","","","","","","","","","","","","","","","","",""
"469","42","    042-01-00061","CLEANING SERVICES FO ","SERVICE   ","CLEANING          ","   ","76604","797389","6","0","1","0","1","0","09/30/2014","8","         ","            ","","","","","","","","","","","",""
"SWBS: ","42","042M - GENERAL ADMINISTRATIVE","        ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 042 :        ","0","","","","","","","","","","","","","","","","",""
"SWBS: ","73","073M - NOISE, VIBRATION","& RES         ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 073 :        ","0","","","","","","","","","","","","","","","","",""
"SWBS: ","75","075M - FASTENERS","                     ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 075 :        ","0","","","","","","","","","","","","","","","","",""
"SWBS: ","83","083M - SUPPLY SUPPORT","                ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 083 :        ","0","","","","","","","","","","","","","","","","",""
"469","86","    086-01-00004","DAMAGE CONTROL BOOK  ","BOOK      ","CONTROL           ","   ","100503","690814","2","1","17529.55","12279.4","5250.15","5250.15","12/31/2014","8","         ","            ","","","","","","","","","","","",""
"469","86","    086-01-00005","DAMAGE CONTROL DIAGR ","DIAGRAM   ","CONTROL           ","   ","100503","690814","3","1","42786.75","33889.09","8897.66","8897.66","12/31/2014","8","         ","            ","","","","","","","","","","","",""
